"variable","importance"
"age_group",190.720111340942
"median_income",173.522566860176
"diagnosis_year",159.168075881925
"race",67.5929105499611
"mets_bone",32.4231869398006
"mets_lung",30.1223974351427
"mets_liver",29.7306885534757
"mets_brain",22.7617288149368
